"A1001","ADARSHA VIDYAMANDIR"
"O4043","BAROMASHIA HIGH SCHOOL"
"O4044","MAHAKALI NAYARHAT KSHIJINDRA NATH BURMAN HIGH SCHOOL"
"O4045","PUTIMARI HIGH SCHOOL"
"O4046","BAISHGURI HIGH SCHOOL"
"O4047","KODALKHETI HARCHANDRA HIGH SCHOOL"
"O4048","MOYNATALI HIGH SCHOOL"
"O4049","RAMTHANGA HIGH SCHOOL(CO ED)"
"O4050","GUMANI HIGH SCHOOL"
"O4051","BARA MADHUSUDAN RUPESWAR RAY HIGH SCHOOL"
"O4052","GOVERNMENT MODEL SCHOOL, SITALKUCHI"
"O5001","CHANGRABANDHA HIGH SCHOOL"
"O5002","DEWANGANJ HIGH SCHOOL"
"O5003","FULKADABRI NABIN CH HIGH SCHOOL"
"O5004","HALDIBARI HIGH SCHOOL"
"O5005","HALDIBARI NABAKISHORE HIGH SCHOOL"
"O5006","HEMKUMARI HIGH SCHOOL"
"O5007","JAMALDAHA TULSI DEVI HIGH SCHOOL"
"O5008","MEKLIGANJ HIGH SCHOOL"
"O5009","SATIGHATERPUR RAMNIDHI HIGH SCHOOL"
"O5010","SHOULMARI HIGH SCHOOL"
"O5011","UCHALPUKURI KRISAK UDYOG HIGH SCHOOL"
"O5012","UPONCHOWKI HIGH SCHOOL"
"O5013","HALDIBARI GIRLS HIGH SCHOOL"
"O5014","INDIRA GIRLS HIGH SCHOOL"
"O5015","ALOKJHARI HIGH SCHOOL"
"O5016","KAMALAKANTA HIGH SCHOOL"
"O5017","KALURAM HIGH SCHOOL"
"O5018","DHAIRJYA NARAYAN HIGH SCHOOL"
"O5019","CHOWRANGI HIGH SCHOOL"
"O5020","BOXIGANJ ABDUL KADER SARKAR HIGH SCHOOL"
"O5021","DEWANGANJ HIGH SCHOOL"
"O5022","BHOTEBARI SITANATH HIGH SCHOOL"
"O5023","WAHABUL ULLUM HIGH SCHOOL"
"O5024","JESUS CHRIST MISSION SCHOOL(HIGH SCHOOL)"
"P1004","BAGHON KALITOLA VIDYAPITH"
"P1005","BAHARAIL B C HIGH SCHOOL"
"P1006","BAHIN HIGH SCHOOL"
"P1007","BANBOLE HIGH SCHOOL"
"P1008","BANGALBARI HIGH SCHOOL"
"P1010","BETNA RAMKRISHNAPUR HIGH SCHOOL"
"P1011","BHAGILATA HIGH SCHOOL"
"P1012","BHARATPUR HIGH SCHOOL"
"P1013","BHUPAL CHANDRA VIDYAPITH"
"P1014","BINDOLE HIGH SCHOOL"
"P1015","CHURAMAN PRAHLAD CHANDRA HIGH SCHOOL"
"P1016","DALIMGAON HIGH SCHOOL"
"P1018","DARIMANPUR BHANUMATI SCHEDULED CASTE HIGH SCHOOL"
"P1020","DEBINAGAR GAYALAL RAMHARI UCHCHA VIDYAPITH"
"P1021","DEBINAGAR K C R VIDYAPITH"
"P1023","DUDHUNDA ALOKE TIRTHA VIDYAPITH"
"P1024","FATEPUR C D HIGH SCHOOL"
"P1025","GULANDAR BINDU BASINI HIGH SCHOOL"
"P1026","HARIRAMPUR A S D M HIGH SCHOOL"
"P1027","HATIA HIGH SCHOOL"
"P1028","HEMTABAD ADARSHA VIDYALAYA"
"P1029","ITAHAR HIGH SCHOOL"
"P1030","JINGAON T N HIGH SCHOOL"
"P1032","KALIYAGANJ GINNI DEVI HINDI HIGH SCHOOL"
"P1033","KALIYAGANJ PARBATI SUNDARI HIGH SCHOOL"
"P1034","KALIYAGANJ SARALA SUNDARI HIGH SCHOOL"
"P1035","KAPASIA A M HIGH SCHOOL"
"P1036","KARNAJORA HIGH SCHOOL"
"P1037","KASBA BAIRHATTA HIGH SCHOOL"
"P1038","KASHIBATI VIVEKANANDA VIDYAPITH"
"P1040","KHOKSA BINAPANI TAPASILI HIGH SCHOOL"
"P1041","KUNOIR KALICHARAN HIGH SCHOOL"
"P1043","KUSHMANDI HIGH SCHOOL"
"P1045","LAKSHMIPUR M C VIDYABHABAN"
"P1046","MAHARAJA JAGADISH NATH HIGH SCHOOL"
"P1047","MAHARAJAHAT HIGH SCHOOL"
"P1049","MARAIKURA INDRA MOHAN VIDYABHABAN"
"P1050","MARNAI S C HIGH SCHOOL"
"P1052","PARAHARIPUR HIGH SCHOOL"
"P1053","PURGRAM S C HIGH SCHOOL"
"P1054","PURIA MAHESPUR HIGH SCHOOL"
"P1055","RADHIKAPUR HIGH SCHOOL"
"P1056","RAIGANJ CORONATION HIGH SCHOOL"
"P1057","RAIGANJ MOHANBATI HIGH SCHOOL"
"P1058","RAIGANJ SRI SRI RAMKRISHNA VIDYABHABAN"
"P1059","RAJGRAM HIGH SCHOOL"
"P1060","RAMPUR INDIRA UCHCHA VIDYAPITH"
"P1061","SAMASPUR HIGH SCHOOL"
"P1062","SEVAGRAM HIGH SCHOOL"
"P1064","SUBHASGANJ HIGH SCHOOL"
"P1065","SUDARSANPUR DWARIKA PRASAD UCHCHA VIDYACHAKRA"
"P1066","TAHERPUR HIGH SCHOOL"
"P1067","TARANGAPUR NANDAKUMAR HIGH SCHOOL"
"P1068","BANBOLE MAHILAL GIRLS HIGH SCHOOL"
"P1070","DEBINAGAR GAYALAL RAMHARI GIRLS HIGH SCHOOL"
"P1071","DEBINAGAR PROMODA SUNDARI BALIKA BIDYAPITH"
"P1072","ITAHAR GIRL'S HIGH SCHOOL"
"P1073","KALIYAGANJ MILANMOYEE GIRLS HIGH SCHOOL"
"P1074","KALIYAGANJ MONOMOHAN GIRLS HIGH SCHOOL"
"P1075","MOHONBATI PARBATI DEBI BALIKA VIDYALAYA"
"P1076","RAIGANJ GIRLS HIGH SCHOOL"
"P1077","RAIGANJ X CLASS GIRLS HIGH SCHOOL"
"P1078","UDAYPUR BALIKA BIDYANIKETAN"
"P1079","MALANCHA HIGH SCHOOL"
"P1080","SASHAN R N HIGH SCHOOL"
"P1081","UTTAR SANKARPUR S C HIGH SCHOOL"
"P1082","SAHEBGHATA N N HIGH SCHOOL"
"P1083","PATOIR C C HIGH SCHOOL"
"P1084","BAMANGRAM HASIMUDDIN HIGH SCHOOL"
"P1085","BANAGRAM S B HIGH SCHOOL"
"P1087","BALIJOLE HIGH SCHOOL"
"P1089","SHITGRAM VIDYABHABAN(HIGH SCHOOL)(BENGALI MEDIUM)"
"P1090","BARUNA PRANAPRIYA VIDYAPITH(HIGH SCHOOL)"
"P1091","CHHAYGHARA HIGH SCHOOL"
"P1092","TARANGAPUR BARAL HARALAL GIRLS' HIGH SCHOOL"
"P1093","SERGRAM HIGH SCHOOL"
"P1094","KARTIK CHANDRA GIRLS' HIGH SCHOOL"
"P1095","BIRGRAM HIGH SCHOOL"
"P1096","JOYHAT HIGH SCHOOL"
"P1097","BAIDARA JANAKALYAN HIGH SCHOOL"
"P1098","SHIBRAMPUR HIGH SCHOOL"
"P1099","BAMUHA TAPASILI HIGH SCHOOL"
"P1100","BHELAI SARAT CHANDRA HIGH SCHOOL"
"P1101","DURGAPUR BALIKA VIDYALAYA(HIGH SCHOOL)"
"P1102","RABINDRAPALLI (MOHANBATI) DESHBANDHU GIRLS' HIGH SCHOOL"
"P1103","SUBHASGANJ GIRLS' HIGH SCHOOL"
"P1104","BARIOL R A HIGH SCHOOL"
"P1105","BAMNIGAON JHARNA DEVI NIVEDITA ASHRAM TYPE H S FOR BOYS(G S)"
"P1106","DEHUCHI HIGH SCHOOL"
"P1107","UDAY CHANDRA VIDYAPITH(HIGH SCHOOL)"
"P1108","RAIGANJ SATSANG BALIKA VIDYALAYA"
"P1109","ST. JOSEPH'S GIRLS HIGH SCHOOL"
"P1110","ANAUN HIGH SCHOOL"
"P1111","PARBATIPUR CHUNMARDI HIGH SCHOOL"
"P1112","DIGNA HIGH SCHOOL"
"P1113","SOASHI HIGH SCHOOL"
"P1114","RATAN HIGH SCHOOL"
"P1115","BHUIHARA HIGH SCHOOL"
"P1116","SARADA VIDYAMANDIR(RAIGANJ)(HIGH SCHOOL)"
"P1117","SARADA VIDYAMANDIR(HEMTABAD)(HIGH SCHOOL)"
"P1118","CHHILIMPUR HIGH SCHOOL"
"P1119","NEW INTEGRATED GOVT. SCHOOL,RAIGANJ"
"P1122","MAHANANDAPUR ADIBASI HIGH SCHOOL"
"P2001","BEGUA HIGH SCHOOL"
"P2002","CHAKULIA HIGH SCHOOL"
"P2003","CHOPRA HIGH SCHOOL"
"P2004","DALKHOLA HIGH SCHOOL"
"P2005","DAMDAMA HIGH SCHOOL"
"P2006","DASPARA HIGH SCHOOL"
"P2007","DHARAMPUR HIGH SCHOOL"
"P2008","GOALPOKHER LODHAN HIGH SCHOOL"
"P2009","ISLAMPUR HIGH SCHOOL"
"P2010","ISLAMPUR STATE FARM COLONY HIGH SCHOOL"
"P2011","JAGTA GAON HIGH SCHOOL"
"P2012","KALIGANJ HIGH SCHOOL"
"P2013","KANKI SRI JAIN VIDYAMANDIR"
"P2014","KARANDIGHI HIGH SCHOOL"
"P2015","KHUDIRAMPALLY SUKANTA SMRITI VIDYAPITH"
"P2016","KICHAKTOLA HIGH SCHOOL"
"P2017","KOTGACHH HIGH SCHOOL"
"P2018","LAKHIPUR HIGH SCHOOL"
"P2019","LALGANJ LAGUA HIGH SCHOOL"
"P2020","MADARGACHI HIGH SCHOOL"
"P2021","MAJHIALI HIGH SCHOOL"
"P2022","MANIVITA HIGH SCHOOL"
"P2023","MANORA HIGH SCHOOL"
"P2024","MATIKUNDA HIGH SCHOOL"
"P2025","NANDAJHAR ADIBASI TAPASHILI HIGH SCHOOL"
"P2026","PANJIPARA ELAHI BAKSHA HIGH SCHOOL"
"P2027","PATAGORA HIGH SCHOOL"
"P2028","RAMGANJ HIGH SCHOOL"
"P2029","RASAKHOWA HIGH SCHOOL"
"P2030","SABDHAN HIGH SCHOOL"
"P2031","SAYEDPUR BABHANTOLI HIGH SCHOOL"
"P2032","SONAPURHAT MAHATMA GANDHI HIGH SCHOOL"
"P2033","SRI KRISHNAPUR HIGH SCHOOL"
"P2034","ST. IGNATIUS HIGH SCHOOL"
"P2035","SURJAPUR HIGH SCHOOL"
"P2036","TITHPUKUR HIGH SCHOOL"
"P2037","TORYAL HIGH SCHOOL"
"P2038","DALKHOLA GIRLS HIGH SCHOOL"
"P2039","ISLAMPUR GIRLS HIGH SCHOOL"
"P2040","DWARIN HIGH SCHOOL"
"P2041","CHOPRA GIRLS HIGH SCHOOL"
"P2042","SHAKUNTALA HIGH SCHOOL"
"P2043","BELAN HIGH SCHOOL"
"P2044","UTTAR DALKHOLA HIGH SCHOOL"
"P2045","PALSA R B HIGH SCHOOL"
"P2046","MILANPALLI HIGH SCHOOL"
"P2047","ALTAPUR HIGH SCHOOL"
"P2048","CHOPRAJHAR ADARSHA BALIKA VIDYALAYA(HIGH SCHOOL)"
"P2049","TATU SINGHA SMRITY HIGH SCHOOL"
"P2050","DHANTOLA HIGH SCHOOL"
"P2051","KAMARTORE HIGH SCHOOL"
"P2052","RAMKRISHNAPUR PRAMODE DASGUPTA MEMORIAL HIGH SCHOOL"
"P2053","DANGIPARA SUMITRA HIGH SCHOOL"
"P2054","SHYAMA PRASAD SMRITY RAMGANJ BALIKA VIDYALAYA(HIGH SCHOOL)"
"P2055","URDU MEDIUM GIRLS' HIGH SCHOOL"
"P2056","BHADRAKALI HIGH SCHOOL"
"P2057","GOMADIGHI HIGH SCHOOL"
"P2058","KARANDIGHI GIRLS' HIGH SCHOOL"
"P2059","POUTI HIGH SCHOOL"
"P2060","BACHCHA MUNSHI SMRITI BALIKA VIDYALAYA HIGH SCHOOL"
"P2061","BARABILLA HIGH SCHOOL(BENGALI & URDU MEDIUM)"
"P2062","NUNULAL PAL SMRITY BADIGACHH HIGH SCHOOL"
"P2063","MADARIPUR HIGH SCHOOL"
"P2064","THIKRIBARI HIGH SCHOOL"
"P2065","JHARBARI HIGH SCHOOL"
"P2066","DARIVIT HIGH SCHOOL(BENGALI MEDIUM)"
"P2067","RAGHOBPUR HIGH SCHOOL(BENGALI MEDIUM,CO-ED)"
"P2068","BHENDABARI HIGH SCHOOL(BENGALI MEDIUM)"
"P2069","SOLPARA HIGH SCHOOL"
"P2070","PANCH BHAYA HIGH SCHOOL"
"P2071","ABDULPUR HIGH SCHOOL"
"P2072","GANDAL HIGH SCHOOL"
"P2073","GOAGAON HIGH SCHOOL"
"P2074","NANDIGACHH HIGH SCHOOL"
"P2075","PACHHU RASIA HIGH SCHOOL"
"P2076","MOHAMMAD BOX HIGH SCHOOL"
"P2077","G K URDU HIGH SCHOOL"
"P2078","GOTI HIGH SCHOOL"
"P2079","BOLDIABASHA HIGH SCHOOL"
"P2080","BHULKABARI HIGH SCHOOL"
"P2081","ISHAQUE MAJLISPUR HIGH SCHOOL"
"P2082","HINDI HIGH SCHOOL,DALKHOLA"
"P2083","KALANAGIN MADHULAL SMRITI HIGH SCHOOL"
"P2084","LAHIL HIGH SCHOOL"
"P2085","DUMKA BIDYAGAR HIGH SCHOOL"
"Q1001","ADIBASHI K M S VIDYAPITH"
"Q1002","NO. 2 AJMATPUR ANCHAL HIGH SCHOOL"
"Q1003","RISTARA S S R G HIGH SCHOOL"
"Q1005","ANGINA BORAIT HIGH SCHOOL"
"Q1006","BADAMAIL L.P. HIGH SCHOOL"
"Q1007","BAJITPUR HIGH SCHOOL"
"Q1008","BAKHARPUR HIGH SCHOOL"
"Q1009","BALAPUR HIGH SCHOOL"
"Q1010","BALURGHAT HIGH SCHOOL"
"Q1011","BALURGHAT JAY CHAND LAL PRAGATI VIDYACHAKRA"
"Q1012","BALURGHAT KABITIRTHA VIDYANIKETAN"
"Q1013","BALURGHAT KHADIMPUR HIGH SCHOOL"
"Q1014","BALURGHAT LALIT MOHAN ADARSHA UCHCHA VIDYALAYA"
"Q1015","BALURGHAT PRACHYA BHARATI VIDYAPITH"
"Q1016","BANIAL HIGH SCHOOL"
"Q1017","BANIHARI HIGH SCHOOL"
"Q1018","BARAKAIL HIGH SCHOOL"
"Q1019","BAUL PARAMESWAR HIGH SCHOOL"
"Q1020","BELTALA PARK TARAN CHANDRA HIGH SCHOOL"
"Q1021","BISHRAIL HIGH SCHOOL"
"Q1022","BOLLA RAJKISHORE HIGH SCHOOL"
"Q1023","CHAKKASHI SHYAM SUNDAR HIGH SCHOOL"
"Q1024","CHAKRAM B L HIGH SCHOOL"
"Q1025","CHALOON HIGH SCHOOL"
"Q1026","CHINGISHPUR HIGH SCHOOL"
"Q1027","DANGARHAT HIGH SCHOOL"
"Q1028","DARALHAT HIGH SCHOOL"
"Q1029","DASUL HIGH SCHOOL"
"Q1030","DEOR PANAULLA HIGH SCHOOL"
"Q1031","FATEPUR BALUPARA HIGH SCHOOL"
"Q1032","FULBARI HIGH SCHOOL"
"Q1033","GANGARAMPUR HIGH SCHOOL"
"Q1034","GOLABARI HIGH SCHOOL"
"Q1035","GOPALGANJ RAGHUNATH HIGH SCHOOL"
"Q1036","HALIDANA HIGH SCHOOL"
"Q1037","HILI RAMANATH HIGH SCHOOL"
"Q1038","INDRANARAYANPUR COLONY HIGH SCHOOL"
"Q1039","JAHANGIRPUR HIGH SCHOOL"
"Q1040","KADIHAT BELBARI HIGH SCHOOL"
"Q1041","KALIKAPUR HIGH SCHOOL"
"Q1042","KANTABARI ADIBASHI HIGH SCHOOL"
"Q1043","KARAI CHENCHRA HIGH SCHOOL"
"Q1044","KARDAHA HIGH SCHOOL"
"Q1045","KASHIADANGA HIGH SCHOOL"
"Q1046","KHANPUR HIGH SCHOOL"
"Q1047","KHASPUR HARE KRISHNA HIGH SCHOOL"
"Q1048","KHIDIRPUR HIGH SCHOOL"
"Q1049","KUCHILA HIGH SCHOOL"
"Q1050","KUMARGANJ HIGH SCHOOL"
"Q1051","MALANCHA Z M R M HIGH SCHOOL"
"Q1052","MANIKORE HIGH SCHOOL"
"Q1053","MANJURICHAK RAIKHAN HIGH SCHOOL"
"Q1054","MURALIPUR SONAULLA HIGH SCHOOL"
"Q1055","NADIPAR N C HIGH SCHOOL"
"Q1056","NAHIT HIGH SCHOOL"
"Q1057","NALANDA VIDYAPITH"
"Q1058","NAMABONGI HIGH SCHOOL"
"Q1059","NARAYANPUR HIGH SCHOOL"
"Q1060","NAYABAZAR HIGH SCHOOL"
"Q1061","NAZIRPUR HIGH SCHOOL"
"Q1062","NEHEMBA HIGH SCHOOL"
"Q1063","PATIRAM HIGH SCHOOL"
"Q1064","RAGHABPUR HIGH SCHOOL"
"Q1065","RAGHUNATHPUR B M HIGH SCHOOL"
"Q1066","RAJIBPUR ST. JOSEPH HIGH SCHOOL"
"Q1067","RAJUA SAKHI SUNDARI HIGH SCHOOL"
"Q1068","RAMCHANDRAPUR HIGH SCHOOL"
"Q1069","RAMPUR HIGH SCHOOL"
"Q1070","SAFANAGAR HIGH SCHOOL"
"Q1071","SANAPARA S C HIGH SCHOOL"
"Q1072","SARBAMANGALA HIGH SCHOOL"
"Q1073","SAYRAPUR K M V HIGH SCHOOL"
"Q1074","SITAHAR MULGRAM HIGH SCHOOL"
"Q1075","SUDARSHAN NAGAR P H H VIDYACHAK HIGH SCHOOL"
"Q1076","SUKDEBPUR S C HIGH SCHOOL"
"Q1077","TAPAN HIGH SCHOOL"
"Q1078","TEOR KRISHNASTAMI HIGH SCHOOL"
"Q1079","THANGAPARA HIGH SCHOOL"
"Q1080","TILON HIGH SCHOOL"
"Q1081","TRIMOHINI PRATAP CHANDRA UCHCHA MADHYAMIK VIDYALAYA"
"Q1082","VIOR JALALIA HIGH SCHOOL"
"Q1083","ASHUTOSH BALIKA VIDYAPITH"
"Q1084","BALUPARA COLONY NIVEDITA BALIKA VIDYALAYA"
"Q1085","BALURGHAT GIRLS HIGH SCHOOL"
"Q1086","BALURGHAT KHADIMPUR GIRLS HIGH SCHOOL"
"Q1088","BALURGHAT R C DUTTA BALIKA VIDYALAYA"
"Q1089","GANGARAMPUR GIRLS HIGH SCHOOL"
"Q1090","HILI GIRLS HIGH SCHOOL"
"Q1091","NADIPAR GIRLS HIGH SCHOOL"
"Q1092","PATIRAM VIVEKANANDA GIRLS HIGH SCHOOL"
"Q1093","RAJIBPUR HOLY CROSS GIRLS HIGH SCHOOL"
"Q1094","TAPAN BALIKA VIDYALAYA"
"Q1095","TEOR GOVT SPONSORED ASHRAM TYPE H/S FOR GIRLS"
"Q1096","TEOR SARBESWAR BALIKA BIDYALAYA"
"Q1097","RADHAKRISHNAPUR HIGH SCHOOL"
"Q1098","DHAINAGAR HIGH SCHOOL"
"Q1099","SAIDPUR B M ACADEMY HIGH SCHOOL"
"Q1100","CHANDIPUR H B HIGH SCHOOL"
"Q1101","MAHENDRA HIGH SCHOOL"
"Q1102","HARIRAMPUR C M D BALIKA VIDYALAYA"
"Q1103","CHOUSHA TAPASILI ADIBASI HIGH SCHOOL"
"Q1104","LOHAGANJ HIGH SCHOOL"
"Q1105","PARAMESWARPUR HIGH SCHOOL"
"Q1106","R C A MAGURPUR HIGH SCHOOL"
"Q1107","MALIPARA TAPASILI UPAJATI HIGH SCHOOL"
"Q1108","PANJUL HIGH SCHOOL"
"Q1109","ELENDARI HIGH SCHOOL"
"Q1110","KHASPUR BARUNA BALIKA VIDYALAYA"
"Q1111","SARALA BHUPENDRA NATH SARKAR HIGH SCHOOL"
"Q1112","AYODHYA K D VIDYANIKETAN"
"Q1113","BAHICHA L K HIGH SCHOOL"
"Q1114","KURMAIL SONAULLAH HIGH SCHOOL"
"Q1115","MANGALPUR ADIBASI HIGH SCHOOL"
"Q1116","MANIKO ADIBASI HIGH SCHOOL"
"Q1117","PURATAN GANGARAMPUR HIGH SCHOOL"
"Q1118","NIRANJAN GHOSH SMRITI VIDYAPITH"
"Q1119","JAKHIRPUR HIGH SCHOOL"
"Q1120","MOSTAFAPUR SARAT CHANDRA HIGH SCHOOL"
"Q1121","GANGURIA HIGH SCHOOL"
"Q1122","SOBRA S G HIGH SCHOOL"
"Q1123","KULAHARI HIGH SCHOOL"
"Q1124","BADALPUR SARASWATI SMRITI HIGH SCHOOL"
"Q1125","BARAM HIGH SCHOOL"
"Q1126","GOURANGAPUR HIGH SCHOOL"
"Q1127","NAOGAN HIGH SCHOOL"
"Q1128","CHANDGANJ HIGH SCHOOL"
"Q1129","PATKOLA HIGH SCHOOL"
"Q1130","MADHABPUR SUBHAS CHANDRA HIGH SCHOOL"
"Q1131","TULAT HIGH SCHOOL"
"Q1132","SANKAIR HIGH SCHOOL"
"Q1133","VARILA HIGH SCHOOL"
"Q1134","NEW INTEGRATED GOVT. SCHOOL,TAPAN"
"Q2001","AMINPUR HIGH SCHOOL"
"Q2002","BADALPUR HIGH SCHOOL"
"Q2003","BANSIHARI HIGH SCHOOL"
"Q2004","DANGRAM ISWAR CHANDRA HIGH SCHOOL"
"Q2005","DAULATPUR HIGH SCHOOL"
"Q2006","DHAKDHOLE HIGH SCHOOL"
"Q2007","KACHRA HIGH SCHOOL"
"Q2008","KHAYERBARI BALIHARA HIGH SCHOOL"
"Q2009","KUSHKARI K B B S HIGH SCHOOL"
"Q2010","MAHIPAL HIGH SCHOOL"
"Q2011","SIHOLE HIGH SCHOOL"
"Q2012","BANSIHARI BALIKA VIDYALAYA"
"Q2013","LAHUCHAR HIGH SCHOOL"
"Q2014","BUNIADPUR HIGH SCHOOL"
"Q2015","ASHOKGRAM ISWAR CHANDRA VIDYASAGAR HIGH SCHOOL"
"Q2016","KHAGAIL TANKA NATH SARKAR HIGH SCHOOL"
"Q2017","PROMOD DASGUPTA SMRITY VIDYAPITH(HIGH SCHOOL)"
"Q2018","PUNDARI HIGH SCHOOL"
"Q2019","RABINDRA SMRITY VIDYAPITH(HIGH SCHOOL)"
"Q2020","BAGICHAPUR NAJRUL SMRITI HIGH SCHOOL"
"Q2021","EKLAVYA MODEL RESIDENTIAL HIGH SCHOOL"
"R1002","AIHO HIGH SCHOOL"
"R1004","ALAL HIGH SCHOOL"
"R1005","ALINAGAR HIGH SCHOOL"
"R1006","ALINAGAR HIGH SCHOOL NORTH"
"R1007","AMSOLE HIGH SCHOOL"
"R1009","ANANDA NIKETAN MAHABIR HIGH SCHOOL"
"R1010","ARAIDANGA D B M ACADEMY"
"R1011","BABUPUR HIGH SCHOOL"
"R1012","BACHAMARI G K HIGH SCHOOL"
"R1013","BADNAGRA HIGH SCHOOL"
"R1014","BAHARAL P. L. SINHA HIGH SCHOOL"
"R1015","BAISHNABNAGAR HIGH SCHOOL"
"R1016","BALARAMPUR BARKOL HIGH SCHOOL"
"R1017","BAMANGOLA HIGH SCHOOL"
"R1018","BANGITOLA HIGH SCHOOL"
"R1019","BARDANGA RAGHUNATH HIGH SCHOOL"
"R1020","BHADO SIMULTALA BATTALA HIGH SCHOOL"
"R1021","BHAGABANPUR K B S HIGH SCHOOL"
"R1022","BHALUKA R M M M VIDYAPITH"
"R1023","BHINGOLE HIGH SCHOOL"
"R1024","BHUTNI CHANDIPUR HIGH SCHOOL"
"R1025","BIRNAGAR HIGH SCHOOL"
"R1026","BISHNUPUR HIGH SCHOOL"
"R1027","BOROI PADMAMANI HIGH SCHOOL"
"R1028","BULBULCHANDI G S VIDYAMANDIR"
"R1029","CHANCHAL SIDDHESWARI INSTITUTION"
"R1030","CHANDIPUR B R S HIGH SCHOOL"
"R1031","CHANDIPUR HIGH SCHOOL"
"R1032","CHAR SUJAPUR HIGH SCHOOL"
"R1033","CHHATIA R K HIGH SCHOOL"
"R1034","CHOROLMONI HIGH SCHOOL"
"R1035","DAKSHINPAKA MALLICKPARA HIGH SCHOOL"
"R1036","DALLA CHANDRA MOHAN VIDYAMANDIR"
"R1037","DARIAPUR I B HIGH SCHOOL"
"R1038","DAULATNAGAR HIGH SCHOOL"
"R1039","DAULATPUR HIGH SCHOOL"
"R1040","DEBIPUR R L SAHA HIGH SCHOOL"
"R1041","DOHIL HIGH SCHOOL"
"R1042","DUBA KHOKSAN BAIRDANGI K R HIGH SCHOOL"
"R1043","EKBARNA GADADHAR VIDYAPITH"
"R1044","ENAYETPUR E A HIGH SCHOOL"
"R1045","GAJOLE HAJI NAKOO MUHAMMAD HIGH SCHOOL"
"R1046","GARADHUL HIGH SCHOOL"
"R1047","GAZOLE SEWCHAND PARAMESWARI VIDYAMANDIR"
"R1048","GOALPARA HIGH SCHOOL"
"R1049","GOBINDAPARA HIGH SCHOOL"
"R1050","GOLAPGANJ HIGH SCHOOL"
"R1051","HARIPUR HIGH SCHOOL"
"R1052","HARISH CHANDRA PUR HIGH SCHOOL"
"R1053","HATIMARI HIGH SCHOOL"
"R1054","JADUPUR ANCHAL HIGH SCHOOL"
"R1055","JADUPUR HIGH SCHOOL"
"R1056","JAGAJIBANPUR HIGH SCHOOL"
"R1057","JAGDALA HIGH SCHOOL"
"R1058","JALALPUR H R A HIGH SCHOOL"
"R1059","JALALPUR HIGH SCHOOL"
"R1060","JOTE ARAPUR P N HIGH SCHOOL"
"R1061","JOYENPUR HIGH SCHOOL"
"R1062","KALIACHAK HIGH SCHOOL"
"R1063","KALIGRAM HIGH SCHOOL"
"R1064","KALINDRI HIGH SCHOOL"
"R1065","KATAHADIARA HIGH SCHOOL"
"R1066","KAZIGRAM HIGH SCHOOL"
"R1067","KENDPUKUR HIGH SCHOOL"
"R1068","KHARBA H N AGRICULTURAL HIGH SCHOOL"
"R1069","KHUTADAHA R C HIGH SCHOOL"
"R1070","KOKLAMARI PRAMILABALA HIGH SCHOOL"
"R1071","KUMBHIRA HIGH SCHOOL"
"R1072","KUSHIDA HIGH SCHOOL"
"R1073","LAKSHMIPUR HIGH SCHOOL"
"R1074","LAKSMIPUR HIGH SCHOOL"
"R1075","LALBATHANI HIGH SCHOOL"
"R1076","LALIT MOHAN SHYAM MOHINI HIGH SCHOOL"
"R1077","M B DURLAVPUR HIGH SCHOOL"
"R1078","MADHABNAGAR BADALMONI HIGH SCHOOL"
"R1079","MAHADIPUR GIRLS HIGH SCHOOL"
"R1080","MAHADIPUR HIGH SCHOOL"
"R1081","MAHANANDA HIGH SCHOOL"
"R1082","MAHARAJPUR KEFATULLAH HIGH SCHOOL"
"R1083","MAHESMATI D N SAHA VIDYABHABAN"
"R1084","MAHESPUR HIGH SCHOOL"
"R1085","MALANCHAPALLI MINU JHA BOYS HIGH SCHOOL"
"R1086","MALDA BIBHUTI BHUSAN HIGH SCHOOL"
"R1087","MALDA J M S HINDI HIGH SCHOOL"
"R1088","MALDA RAILWAY HIGH SCHOOL"
"R1089","MALDA TOWN HIGH SCHOOL"
"R1090","MALDA UMESHCHANDRA BASTUHARA VIDYALAYA"
"R1091","RAMAKRISHNA MISSION VIVEKANANDA VIDYAMANDIR , MALDA"
"R1092","MALDA ZILLA HIGH SCHOOL"
"R1093","MANIK CHAK SIKSHANIKETAN"
"R1094","MANIKCHAK HIGH SCHOOL"
"R1095","MANIKORA HIGH SCHOOL"
"R1096","MASALDAHA GANAPATRAI HIGH SCHOOL"
"R1097","MASHALDIGHI SHIBABRATI VIDYAPITH"
"R1098","MATHURAPUR B S S HIGH SCHOOL"
"R1099","MEHERAPUR GANGADHAR HIGH SCHOOL"
"R1100","MILKI HIGH SCHOOL"
"R1101","MITNA HIGH SCHOOL"
"R1102","MOTHABARI HIGH SCHOOL"
"R1103","MOYNA HIGH SCHOOL"
"R1104","MOZAMPUR H S S B HIGH SCHOOL"
"R1105","MUCHIA ANCHAL C M HIGH SCHOOL"
"R1106","MURCHA SUKHADABALA HIGH SCHOOL"
"R1107","N T P C HIGH SCHOOL"
"R1108","NABABNAGAR K K J K VIDYAPITH"
"R1109","NAGHARIA HIGH SCHOOL"
"R1110","NAIMOUZA HIGH SCHOOL"
"R1111","NALAGOLA HIGH SCHOOL"
"R1112","NARATTAMPUR K B B HIGH SCHOOL"
"R1113","NAYABAZAR HIGH SCHOOL"
